series1,series2,series3,series4
-0.2917569,-0.3876638,-0.1128412,1.654215
-0.242439,0.5206896,-0.4800671,2.174904
-0.02603066,-0.6383636,0.7698023,1.53654
0.2925183,-0.3022426,0.6676254,1.234298
0.4501208,0.8955198,0.08472769,2.129818
1.080093,-0.08662059,-0.5774354,2.043197
1.360102,-0.02926713,-1.561825,2.01393
0.933401,1.986663,-0.6876675,4.000593
-0.4766151,0.3983688,0.4440123,4.398962
-0.9215478,-0.7683342,-0.1861881,3.630628
-0.7289146,-0.4555562,1.215137,3.175072
-1.110475,-0.3722772,-0.0799663,2.802794
-0.6273402,-0.4346838,0.6994894,2.368111
-0.1947855,-1.116439,0.8885788,1.251672
0.906195,0.4645373,-0.332044,1.716209
0.5558976,0.314523,-0.1553832,2.030732
0.3747557,0.7905156,0.3861025,2.821248
0.1946824,-0.1421957,0.612866,2.679052
0.1387687,0.00077599,0.1515182,2.679828
-0.4557641,0.4786194,-1.289347,3.158448
-0.351497,-0.239041,-1.528603,2.919407
-1.344221,-1.028985,-1.370598,1.890422
-0.5136462,0.6592153,-1.029001,2.549637
-1.263639,-1.958489,-0.3053761,0.5911477
-0.3359087,0.4096126,0.06100565,1.00076
-0.5651136,-0.6398098,-0.3090872,0.3609505
0.5807918,-0.3516138,0.1706646,0.009336755
0.4545967,0.01261812,0.7388606,0.02195488
-0.7065072,1.344957,0.788159,1.366912
-0.6468115,-0.5701901,0.3007849,0.7967214
-0.6543164,-1.998473,0.1192445,-1.201751
0.2134103,1.448353,0.1467299,0.246601
-0.4828968,-0.5831888,0.6176966,-0.3365878
-0.3359819,-0.4955262,0.4998179,-0.832114
-0.6224377,0.2423132,0.1227532,-0.5898008
-0.9865567,-0.3287248,0.431357,-0.9185255
-1.966935,-0.9916822,0.9652543,-1.910208
-1.124571,-0.3883594,0.5515254,-2.298567
-1.707165,-2.026791,0.61108,-4.325358
-0.1854038,0.4673362,0.8090759,-3.858021
-0.1784561,-1.397442,1.1653,-5.255464
0.907507,0.6089773,1.310258,-4.646487
0.1317772,0.4793701,0.6361126,-4.167117
0.4734136,0.483501,0.4531203,-3.683616
0.6321835,-0.7346262,-0.6132977,-4.418242
1.681826,1.071102,0.02867928,-3.34714
0.974712,0.7584985,-0.640683,-2.588642
-0.06385785,1.083407,-0.794078,-1.505234
-0.2105086,-0.1536553,-0.8459797,-1.658889
-0.5158177,-1.040357,0.4694713,-2.699247
0.7665813,0.8294009,0.8347246,-1.869846
0.2444031,-0.6824661,0.6115847,-2.552312
1.087403,1.180823,0.3190039,-1.371489
1.293685,-0.0750383,-1.286713,-1.446527
0.5082846,0.7776518,-0.8467695,-0.6688753
-0.6892687,1.538114,-0.7787191,0.8692388
-2.667913,-1.435391,0.1736309,-0.5661523
-1.663614,-1.296571,0.3860724,-1.862724
-0.1414453,-1.888999,0.7020753,-3.751722
0.3505976,0.3041065,0.4884583,-3.447616
-0.1397912,1.339902,0.1510522,-2.107714
-0.2754465,-1.036755,-0.3723356,-3.144469
1.134058,-0.5452719,-0.156222,-3.689741
0.5330001,1.10494,-0.6324148,-2.584801
-0.06964525,1.404579,-0.1649275,-1.180223
-0.6335931,-1.586335,-0.1731968,-2.766558
0.5139097,0.06112755,-0.9743023,-2.705431
-0.8155676,0.4277924,-0.8853061,-2.277638
-0.6838417,0.4011977,-1.095117,-1.876441
-1.063221,-2.241595,-1.123392,-4.118035
-0.833313,0.6559484,-1.051426,-3.462087
-1.730735,-0.2559067,-1.420137,-3.717993
-1.920455,-1.843382,-0.6159621,-5.561376
-0.9843828,-0.8984317,-0.829434,-6.459807
-0.7525536,-0.5845109,0.1184848,-7.044318
-0.6497178,-0.2220584,-0.6810668,-7.266377
0.02502869,-0.4968917,-0.6842576,-7.763268
0.09658945,-0.4063941,-0.9293888,-8.169663
0.5744151,0.9466367,-0.04551722,-7.223026
1.170784,-0.3729448,-0.09051973,-7.59597
1.246408,0.4212242,-1.085544,-7.174746
1.815765,1.979578,-1.225381,-5.195168
0.09647014,-0.2419602,-0.906306,-5.437128
-1.047085,1.407379,-0.4833704,-4.029749
-2.299511,-0.998328,-0.4602053,-5.028077
-1.565839,-2.222656,-0.2726415,-7.250733
0.3396514,-0.7618866,-0.8387831,-8.01262
0.558768,0.2724304,-0.8672752,-7.740189
0.137849,1.07775,-0.01306794,-6.662439
-0.6666757,-0.3823656,-0.108679,-7.044805
-0.1232607,-0.4566228,-0.526127,-7.501428
-0.2930429,-0.3157278,-0.4074536,-7.817155
0.3120345,0.5588569,0.007037021,-7.258299
1.049049,-0.7506942,0.3634512,-8.008993
1.68675,0.7322969,-0.01592993,-7.276696
0.7732156,1.835403,-0.5690467,-5.441293
-0.09439132,0.3538372,-0.0962099,-5.087456
-0.6207299,-0.8499916,-0.808318,-5.937447

